# SwiftEEG raw counts,rate=1000,gain=24,lsb_uv=0.022351742
ts_us,seq,ch1_C4,ch2_P4,ch3_F4,ch4_Oz,ch5_AFz,ch6_F3,ch7_C3,ch8_P3
2103188627,2045509,-4549024,4004029,-5089171,3724489,-6173634,-7442102,-6820906,-6974799
2103248514,2045510,-4553330,4005959,-5092064,3688118,-6177031,-7442847,-6814172,-6973596
2103248515,2045511,-4556185,4007976,-5094113,3675011,-6179404,-7443289,-6806912,-6971954
2103248516,2045512,-4557410,4009244,-5095057,3673584,-6180631,-7443519,-6802595,-6971187
2103248517,2045513,-4557661,4009278,-5095275,3671573,-6180949,-7443351,-6798804,-6970047
2103248518,2045514,-4557108,4008220,-5094904,3669369,-6180396,-7442804,-6795141,-6968377
2103248519,2045515,-4556073,4006488,-5094213,3667577,-6179271,-7442051,-6791542,-6966313
2103248520,2045516,-4554706,4004393,-5093279,3666804,-6177804,-7441102,-6787872,-6963893
2103248521,2045517,-4552967,4001864,-5092066,3666508,-6176042,-7440000,-6784082,-6961069
2103248522,2045518,-4549592,3997326,-5089639,3665077,-6172984,-7438339,-6779559,-6956697
2103248523,2045519,-4544697,3991014,-5086087,3661729,-6168526,-7435951,-6773924,-6950496
2103248524,2045520,-4540182,3985916,-5083017,3667341,-6164268,-7433636,-6769281,-6944948
2103248525,2045521,-4537710,3986150,-5081370,3702869,-6162332,-7433331,-6774587,-6946218
2103248526,2045522,-4536781,3987564,-5080725,3728700,-6161806,-7433959,-6784733,-6950701
2103248527,2045523,-4536651,3987828,-5080547,3731662,-6161591,-7434378,-6791172,-6953309
2103248528,2045524,-4537175,3988748,-5080796,3733151,-6161841,-7434934,-6796472,-6955746
2103248529,2045525,-4538284,3990371,-5081489,3734418,-6162647,-7435772,-6801494,-6958472
2103248530,2045526,-4539782,3992412,-5082507,3734784,-6163841,-7436862,-6806408,-6961476
2103248531,2045527,-4541607,3994994,-5083766,3735080,-6165534,-7438089,-6811256,-6964728
2103248532,2045528,-4544989,3999717,-5086134,3736421,-6168839,-7439878,-6816691,-6969365
2103248533,2045529,-4549884,4005213,-5089561,3726741,-6173344,-7441982,-6820351,-6974102
2103248534,2045530,-4554173,4007146,-5092411,3690129,-6176717,-7442706,-6813744,-6972950
2103248535,2045531,-4557142,4009240,-5094564,3676397,-6179194,-7443237,-6806474,-6971351
2103248536,2045532,-4558309,4010455,-5095458,3675101,-6180358,-7443389,-6802042,-6970494
2103248537,2045533,-4558648,4010589,-5095770,3673144,-6180757,-7443298,-6798313,-6969419
2103248538,2045534,-4558192,4009637,-5095486,3670923,-6180307,-7442834,-6794732,-6967845
2103248539,2045535,-4557161,4007909,-5094787,3669106,-6179191,-7442084,-6791124,-6965776
2103248540,2045536,-4555801,4005808,-5093854,3668361,-6177718,-7441125,-6787448,-6963361
2103248541,2045537,-4554054,4003286,-5092634,3668124,-6175937,-7440010,-6783648,-6960544
2103248542,2045538,-4550565,3998648,-5090041,3666478,-6172755,-7438202,-6778982,-6956049
2103248543,2045539,-4545852,3992522,-5086658,3662845,-6168496,-7435997,-6773529,-6950041
2103248544,2045540,-4541429,3987445,-5083729,3667889,-6164329,-7433779,-6768838,-6944492
2103248545,2045541,-4538755,3987373,-5081890,3702576,-6162170,-7433246,-6773531,-6945328
2103248546,2045542,-4537726,3988798,-5081160,3729758,-6161547,-7433802,-6783703,-6949813
2103248547,2045543,-4537666,3989169,-5081069,3733060,-6161413,-7434328,-6790341,-6952561
2103248548,2045544,-4538289,3990178,-5081413,3734466,-6161767,-7434989,-6795778,-6955111
2103248549,2045545,-4539416,3991821,-5082129,3735701,-6162601,-7435857,-6800844,-6957872
2103248550,2045546,-4540727,3993687,-5082966,3736108,-6163625,-7436773,-6805592,-6960700
2103248551,2045547,-4542579,3996281,-5084254,3736342,-6165335,-7438034,-6810482,-6963976
2103248552,2045548,-4546017,4001048,-5086691,3737650,-6168691,-7439908,-6816009,-6968681
2103248553,2045549,-4550964,4006613,-5090167,3728263,-6173239,-7442076,-6819800,-6973506
2103248554,2045550,-4555234,4008560,-5093019,3691798,-6176609,-7442786,-6813249,-6972381
2103248555,2045551,-4558101,4010538,-5095034,3677912,-6178972,-7443171,-6805798,-6970626
2103248556,2045552,-4559388,4011880,-5096030,3676593,-6180242,-7443410,-6801447,-6969880
2103248557,2045553,-4559709,4011988,-5096324,3674528,-6180629,-7443309,-6797702,-6968804
2103248558,2045554,-4559105,4010893,-5095897,3672364,-6180033,-7442696,-6793965,-6967083
2103248559,2045555,-4558118,4009214,-5095244,3670605,-6178966,-7441985,-6790398,-6965066
2103248560,2045556,-4556801,4007159,-5094345,3669795,-6177541,-7441064,-6786761,-6962685
2103248561,2045557,-4555005,4004585,-5093062,3669459,-6175708,-7439885,-6782907,-6959815
2103248562,2045558,-4551631,4000059,-5090572,3667768,-6172621,-7438156,-6778333,-6955439
2103248563,2045559,-4546765,3993792,-5087044,3664118,-6168212,-7435796,-6772734,-6949305
2103248564,2045560,-4542300,3988669,-5084079,3669100,-6164010,-7433556,-6768028,-6943734
2103248565,2045561,-4539655,3988608,-5082284,3703751,-6161889,-7433072,-6772776,-6944598
2103248566,2045562,-4538592,3989998,-5081519,3730914,-6161244,-7433617,-6782932,-6949044
2103248567,2045563,-4538496,3990321,-5081392,3734159,-6161074,-7434114,-6789541,-6951749
2103248568,2045564,-4539176,3991388,-5081811,3735631,-6161486,-7434847,-6795049,-6954359
2103248569,2045565,-4540265,3993003,-5082496,3736908,-6162284,-7435686,-6800080,-6957084
2103248570,2045566,-4541566,3994854,-5083319,3737306,-6163288,-7436591,-6804815,-6959889
2103248571,2045567,-4543564,3997579,-5084762,3737523,-6165150,-7438009,-6809863,-6963317
2103248572,2045568,-4547032,4002358,-5087237,3738844,-6168541,-7439929,-6815429,-6968036
2103248573,2045569,-4551750,4007749,-5090491,3730006,-6172866,-7441884,-6819094,-6972677
2103248574,2045570,-4556151,4009849,-5093455,3693701,-6176365,-7442723,-6812819,-6971752
2103248575,2045571,-4559086,4011841,-5095528,3679256,-6178775,-7443133,-6805311,-6969996
2103248576,2045572,-4560458,4013279,-5096616,3677898,-6180142,-7443445,-6801012,-6969324
2103248577,2045573,-4560691,4013302,-5096806,3675874,-6180434,-7443234,-6797140,-6968135
2103248578,2045574,-4560314,4012439,-5096594,3673862,-6180069,-7442846,-6793617,-6966640
2103248579,2045575,-4559301,4010728,-5095901,3672351,-6178968,-7442097,-6790007,-6964601
2103248580,2045576,-4557895,4008587,-5094922,3671338,-6177457,-7441095,-6786287,-6962147
2103248581,2045577,-4556133,4006055,-5093681,3671119,-6175661,-7439939,-6782454,-6959303
2103248582,2045578,-4552853,4001638,-5091287,3669736,-6172659,-7438272,-6777949,-6955024
2103248583,2045579,-4548101,3995461,-5087878,3666225,-6168353,-7436022,-6772467,-6949009
2103248584,2045580,-4543586,3990233,-5084841,3670533,-6164109,-7433736,-6767617,-6943322
2103248585,2045581,-4540896,3990044,-5083011,3704434,-6161922,-7433191,-6772022,-6943968
2103320448,2045582,-4539921,3991586,-5082336,3732499,-6161376,-7433854,-6782352,-6948559
2103320449,2045583,-4539694,3991819,-5082087,3736084,-6161094,-7434241,-6788921,-6951192
2103320450,2045584,-4540310,3992829,-5082449,3737535,-6161452,-7434924,-6794402,-6953768
2103320451,2045585,-4541298,3994328,-5083025,3738829,-6162141,-7435659,-6799342,-6956392
2103320452,2045586,-4542725,3996298,-5083977,3739239,-6163266,-7436684,-6804212,-6959321
2103320453,2045587,-4544448,3998737,-5085151,3739507,-6164840,-7437837,-6808997,-6962471
2103320454,2045588,-4547846,4003433,-5087576,3740836,-6168169,-7439734,-6814537,-6967141
2103320455,2045589,-4552637,4008988,-5090909,3732863,-6172589,-7441799,-6818536,-6972007
2103320456,2045590,-4556991,4011094,-5093813,3696875,-6176049,-7442610,-6812526,-6971197
2103320457,2045591,-4560027,4013085,-5095959,3681248,-6178543,-7443077,-6804917,-6969424
2103320458,2045592,-4561396,4014507,-5097048,3679837,-6179898,-7443361,-6800522,-6968693
2103320459,2045593,-4561659,4014570,-5097272,3677861,-6180209,-7443160,-6796648,-6967503
2103320460,2045594,-4561285,4013728,-5097064,3675731,-6179853,-7442750,-6793085,-6965999
2103320461,2045595,-4560247,4012006,-5096350,3673808,-6178739,-7441984,-6789453,-6963939
2103320462,2045596,-4558819,4009844,-5095336,3672906,-6177199,-7440956,-6785700,-6961457
2103320463,2045597,-4557135,4007395,-5094156,3672626,-6175481,-7439873,-6781941,-6958709
2103320464,2045598,-4554016,4003147,-5091907,3670983,-6172646,-7438353,-6777589,-6954599
2103320465,2045599,-4549197,3996918,-5088407,3667189,-6168281,-7436028,-6772042,-6948512
2103320466,2045600,-4544649,3991598,-5085358,3671178,-6163986,-7433689,-6767058,-6942734
